Organization Name,Organization Name URL,Estimated Revenue Range,Industries,CB Rank (Company),Description,Operating Status,Founded Date,Company Type,Exit Date,Twitter,Number of Articles,Hub Tags,Number of Lead Investments,LinkedIn,Actively Hiring,Facebook,Investor Type,Number of Sub-Orgs,Contact Email,Investment Stage,Number of Investments,Headquarters Location,Phone Number,Full Description,Number of Exits (IPO),Website,Number of Portfolio Organizations,Industry Groups,Number of Exits,Last Funding Type,Number of Employees,Funding Status,Number of Founders,Last Funding Date,Last Equity Funding Type,Number of Funding Rounds,Valuation at IPO (in USD),Last Funding Amount (in USD),Last Equity Funding Amount (in USD),Total Equity Funding Amount (in USD),Total Funding Amount (in USD),Acquisition Status,Number of Lead Investors,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Type,Price (in USD),Announced Date,Money Raised at IPO (in USD),IPO Status,Last Layoff Mention Date,Growth Category,Last Leadership Hiring Date,IPO Date,Numerical Revenue Range,IPO Date - Founded Date,Exit Date - Founding Date,IPO Date - Last_Funding_Date,Valuation_at_IPO / Last_Funding,Valuation_at_IPO_per_Last_Equity_Funding,Valuation_at_IPO / Total_Funding,Valuation_at_IPO / Total_Equity_Funding,Money_Raised_at_IPO / Last_Funding,Money_Raised_at_IPO / Last_Equity_Funding,Money_Raised_at_IPO / Total_Funding,Money_Raised_at_IPO / Total_Equity_Funding,Total funding amount / number of employees,Numeric revenue range / number of employees,Last funding amount / number of employees,Last funding amount / ( ipo - founded date ),Total funding amount / (ipo - founded date),Number of funding rounds / (ipo - founde date),Numeric revenue amount / total number of employees * (IPO - founded date),ind_update,narrowed_industry,Predicted IPO Status,success
Alcide,https://www.crunchbase.com/organization/alcide,$1M to $10M,"Cloud Security, Cyber Security, Data Center, DevOps, Information Technology, Network Security, Security, Software",31377,Alcide provides a cloud-native security platform from code to production to continuously secure workloads running in Kubernetes.,Closed,2016,For Profit,2021,https://twitter.com/alcideio,19,,,https://www.linkedin.com/company/alcide/,,https://www.facebook.com/Alcide.io/,,,info@alcide.io,,,"Tel Aviv, Tel Aviv, Israel",,"Alcide is a Kubernetes network security leader empowering DevOps and security teams to continuously secure and protects their growing multi-cluster Kubernetes deployments. Alcide provides a single Kubernetes-native security platform for everything Kubernetes: configuration risks, network security events, and a single policy framework to enforce. Companies use Alcide to scale their Kubernetes deployments without compromising on security. The Alcide Security Platform provides code-to-production protection that automatically discovers, manages, and enforces security policies across multi-cluster environments. This enables the smooth operation of business apps while protecting cloud deployments from malicious attacks.",,http://www.alcide.io,,"Hardware, Information Technology, Privacy and Security, Software",,Series A,31,M&A,2,2018,Series A,4,,7000000,7000000,12200000,12300000,Was Acquired,3,Rapid7,https://www.crunchbase.com/organization/rapid7,,Acquisition,50000000,2021,,0,,,,,5500000,,5,,,,,,,,,,396774.1935,177419.3548,225806.4516,,,,,"Cloud Security, Security, Network Security",Technology & Software,0,no
Dropbox,https://www.crunchbase.com/organization/dropbox,$1B to $10B,"Collaboration, Enterprise Software, File Sharing, Private Cloud, Web Hosting",218,"Dropbox is a smart workspace company that provides secure file sharing, collaboration, and storage solutions.",Active,2007,For Profit,2018,https://www.twitter.com/Dropbox,10142,Exited Unicorn,1,https://www.linkedin.com/company/dropbox,Yes,https://www.facebook.com/Dropbox,,1,,,4,"San Francisco, California, United States",18552376726,"Dropbox provides secure file sharing, collaboration, and storage solutions. Dropbox is to unleash the world’s creative energy by designing a more enlightened way of working.",1,https://www.dropbox.com,4,"Hardware, Information Technology, Internet Services, Other, Software",1,Debt Financing,3001,IPO,2,2017,Series C,13,9200000000,600000000,350000000,609215000,1709215000,Made Acquisitions,6,,,31,,,,756000000,1,2023,,2023,2018,5500000000,11,11,1,15.33333333,26.28571429,5.382587913,15.10140098,1.26,2.16,0.442308311,1.240941211,569548.4838,1832722.426,199933.3555,54545454.55,155383181.8,1.181818182,166611.1296,"File Sharing, Collaboration, Web Hosting",Technology & Software,1,yes
WalkMe,https://www.crunchbase.com/organization/walkme,$100M to $500M,"E-Learning, Guides, Product Design, Product Management, Software",70,"WalkMe provides a digital adoption platform to let organizations measure, drive, and act to maximize their digital transformation.",Active,2011,For Profit,2021,http://twitter.com/WalkMeInc,196,Exited Unicorn,,http://www.linkedin.com/company/walkme,,http://www.facebook.com/WalkMe,,,support@walkme.com,,,"San Francisco, California, United States",1-855-4-925563,"WalkMe’s Digital Adoption Platform is a code-free software platform that enables organizations to measure, drive, and act to maximize the impact of their digital transformation and accelerate the return on their software investment. The platform leverages proprietary technology to provide CIOs and executive management with visibility into the tech stack.",,http://www.walkme.com,,"Design, Education, Media and Entertainment, Other, Software",,Series G,3001,M&A,4,2019,Series G,10,2562215038,90000000,90000000,307500000,307500000,"Made Acquisitions, Was Acquired",7,SAP,https://www.crunchbase.com/organization/sap,5,Acquisition,1500000000,2024,286750000,1,2023,Growing,2022,2021,300000000,10,10,2,28.46905598,28.46905598,8.332406628,8.332406628,3.186111111,3.186111111,0.932520325,0.932520325,102465.8447,99966.67777,29990.00333,9000000,30750000,1,9996.667777,"Software, Product Management, Product Design",Technology & Software,1,yes
Apttus,https://www.crunchbase.com/organization/apttus,$500M to $1B,"CRM, Enterprise Software, Finance, Information Technology, SaaS, Software",3085,"Apttus, a SaaS application provider, renders enterprise class applications for end to end management of business functions.",Closed,2006,For Profit,2018,http://twitter.com/Apttus,229,Exited Unicorn,,http://www.linkedin.com/company/1181097,,http://www.facebook.com/ApttusCorporation,,,info@apttus.com,,,"San Mateo, California, United States",(650) 445-7700,"Apttus enterprise-class software drives the vital business process between the buyer’s interest in a purchase and the realization of revenue.  Delivered on the world’s most trusted and comprehensive cloud platform, the Salesforce Platform, Apttus’ Quote-to-Cash solutions increase sales and maximize visibility and control.  Applications include Configure-Price-Quote (CPQ), Contract Management, Renewals and Revenue Management. Additionally, Apttus’ patent pending X-Author technology enables Microsoft Office to be a user-interface with full interaction and control between Salesforce and Microsoft Office.  Apttus is based in San Mateo, California, with additional offices in London, UK and Ahmedabad, India.",,http://apttus.com/,,"Financial Services, Information Technology, Sales and Marketing, Software",,Debt Financing,3001,M&A,3,2018,Series E,6,,75000000,55000000,329000000,404000000,"Made Acquisitions, Was Acquired",5,Thoma Bravo,https://www.crunchbase.com/organization/thoma-bravo,1,Acquisition,,2018,,0,,,,,750000000,,12,,,,,,,,,,134621.7927,249916.6944,24991.66944,,,,,"SaaS, Enterprise Software, Software",Technology & Software,1,yes
Vobile,https://www.crunchbase.com/organization/vobile,$1M to $10M,"Digital Entertainment, Information Technology, Video",10059,"Vobile offers complete solutions to protect, measure, and monetize the best movies and TV content across the Internet and on all screens.",Active,2005,For Profit,2019,https://twitter.com/Vobile,86,,,http://www.linkedin.com/company/vobile,,http://www.facebook.com/pages/Vobile/225478027618114,,,info@vobileinc.com,,,"Santa Clara, California, United States",(408)217-5000,"Vobile is the worldwide leader in video and audio content protection, measurement, and monetization services. Its patented core VDNA technologies enable fully automated identification, tracking, and management of any video and audio content with high accuracy and scalability. Vobile operates the VDNA Database (VDDB), which is the most comprehensive database of authorized video fingerprints, metadata, and business rules from major movie studios, television networks, and record labels.  Founded in 2005, the company is headquartered in Santa Clara, California, with additional offices in the United States, Japan, and Hong Kong.",,http://www.vobilegroup.com,,"Information Technology, Media and Entertainment, Video",,Post-IPO Debt,176,IPO,1,2022,Series D,6,,127000000,17100000,54550000,181550000,Made Acquisitions,2,,,2,,,,,1,,Growing,,2019,5500000,14,14,-3,,,,,,,,,1031534.091,31250,721590.9091,9071428.571,12967857.14,0.428571429,2232.142857,"Digital Entertainment, Information Technology, Video",Technology & Software,1,yes
Docebo,https://www.crunchbase.com/organization/docebo,$100M to $500M,"Corporate Training, EdTech, Education, Enterprise Software, SaaS, Software, Training",1182,"Docebo is a cloud SaaS Learning Platform that enables companies to deliver, track and certify online training to their staff.",Active,2005,For Profit,2020,http://twitter.com/Docebo,108,,,http://www.linkedin.com/company/docebo-srl,,https://www.facebook.com/Docebo/,,,info@docebo.com,,,"Toronto, Ontario, Canada",800.681.4601,"Docebo is the world’s most powerful learning platform, built for the business of learning. Docebo helps organizations around the world deliver scalable, personalized learning to customers, partners, and employees, driving productivity, engagement, revenue, and growth. The Docebo platform is stable and intuitive, with innovative technology for content generation, automation, and analytics, along with the industry’s most advanced AI capabilities. This enables businesses to create and manage content, effectively train diverse audiences, and measure the impact of their learning programs—all from a single platform.",,http://www.docebo.com,,"Education, Software",,Post-IPO Equity,751,M&A,1,2021,Post-IPO Equity,5,,101715742,101715742,165246942,165246942,"Made Acquisitions, Was Acquired",2,Klass Capital,https://www.crunchbase.com/organization/klass-capital,4,Leveraged Buyout,,2015,144000000,1,,Growing,2022,2020,300000000,15,15,-1,,,,,1.415710068,1.415710068,0.871423085,0.871423085,220035.8748,399467.3768,135440.4021,6781049.467,11016462.8,0.333333333,26631.15846,"SaaS, Training, Corporate Training",Technology & Software,1,yes
Hooch,https://www.crunchbase.com/organization/hooch,$1M to $10M,"E-Commerce, Hospitality, Loyalty Programs, Marketing, Software",42030,"HOOCH is the free app that rewards you up to 10% back plus exclusive perks when you travel, shop or dine with global partners.",Closed,2015,For Profit,,https://twitter.com/hoochapp,6,,,,,https://www.facebook.com/hoochapp,,,support@hooch.co,,,"New York, New York, United States",,"HOOCH is the free app that rewards you up to 10% back plus exclusive perks when you travel, shop or dine with global partners.",,https://hoochrewards.com/,,"Commerce and Shopping, Sales and Marketing, Software, Travel and Tourism",,Seed,31,Seed,3,2018,Seed,4,,5000000,5000000,7750000,7750000,Made Acquisitions,2,,,3,,,,,0,,,,,5500000,,,,,,,,,,,,250000,177419.3548,161290.3226,,,,,"Software, Marketing, Loyalty Programs",Technology & Software,0,no
BigBear.ai,https://www.crunchbase.com/organization/bigbear-ai,$10M to $50M,"Artificial Intelligence (AI), Information Technology, Machine Learning, Service Industry",2312,BigBear.ai's mission is to deliver clarity for the world's most complex decisions.,Active,2020,For Profit,2021,https://twitter.com/bigbearai,67,,,https://www.linkedin.com/company/bigbearai/about/,,https://www.facebook.com/pg/bigbearai/,,,info@bigbear.ai,,,"Columbia, Maryland, United States",(410) 312 0885,"BigBear.ai is a decision dominance serving the national defense and intelligence communities. The Company delivers high-end capabilities across the data and digital spectrum to deliver information superiority and decision support.  BigBear.ai provides a comprehensive suite of solutions including artificial intelligence and machine learning, data science, advanced analytics, offensive and defensive cyber, data management, cloud solutions, digital engineering, and systems integration.",,https://www.bigbear.ai/,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Science and Engineering, Software",,Post-IPO Equity,751,M&A,1,2023,Post-IPO Equity,2,1570000000,25000000,25000000,25000000,225000000,"Made Acquisitions, Was Acquired",,AE Industrial Partners,https://www.crunchbase.com/organization/ae-industrial-partners,4,Leveraged Buyout,,2021,330000000,1,2022,Growing,2022,2021,30000000,1,1,-2,62.8,62.8,6.977777778,62.8,13.2,13.2,1.466666667,13.2,299600.5326,39946.73768,33288.94807,25000000,225000000,2,39946.73768,"Artificial Intelligence (AI), Service Industry, Machine Learning",Technology & Software,1,yes
FarmLogs,https://www.crunchbase.com/organization/farmlogs,$1M to $10M,"Agriculture, AgTech, Big Data, Internet, Software",17338,FarmLogs' platform exposes critical operational data insights to more than 1 in 3 US row crop farmers.,Closed,2012,For Profit,2021,http://twitter.com/farmlogs,61,,,http://www.linkedin.com/company/farmlogs,,http://www.facebook.com/FarmLogs,,,support@farmlogs.com,,,"Ann Arbor, Michigan, United States",(650)318-5293,"Their mission is to help bring farmers the future of farming. They challenge what is possible and invent new ways of applying cutting-edge technology to the world's oldest and most foundational industry. Farmers are the core of agriculture and they help them use technology to be more successful. Farmer success is their success. They will never make a decision that doesn't benefit farmers. Their world depends on agriculture. By making farming more efficient and helping farmers grow more using less, they have the opportunity to make a massive positive impact. And, they've brought together a world-class team to make it happen.",,http://farmlogs.com,,"Agriculture and Farming, Data and Analytics, Internet Services, Software",,Series C,76,M&A,1,2017,Series C,5,,22000000,22000000,37000000,37000000,Was Acquired,4,Bushel,https://www.crunchbase.com/organization/bushel-26e6,,Acquisition,,2021,,0,,,,,5500000,,9,,,,,,,,,,486842.1053,72368.42105,289473.6842,,,,,"Big Data, Software, Internet",Technology & Software,0,no
Olive,https://www.crunchbase.com/organization/olive-ai,$100M to $500M,"Artificial Intelligence (AI), Electronic Health Record (EHR), Health Care, Information Technology, Machine Learning, Software",31228,"Olive is a developer of an artificial intelligence workforce, automated revenue cycle and claims management for the healthcare industry.",Closed,2012,For Profit,,https://twitter.com/oliveai__,173,,,https://www.linkedin.com/company/hireolive/,,https://www.facebook.com/oliveartificialintelligence,,1,marketing@oliveai.com,,,"Columbus, Ohio, United States",+1 800 501 3161,"Olive deploys the AI workforce built specifically for healthcare, delivering hospitals and health systems increased revenue, reduced costs, and increased capacity. Olive automates repetitive, high-volume tasks and workflows, monitoring their performance, identifying improvements, and finding opportunities for new work. Olive gives power back to providers through her ever-growing, unparalleled intelligence made up of shared memories, collective wisdom, and global awareness, learning like a network so hospitals never have to solve the same problem twice.  Olive was founded in 2012 and is headquartered in Columbus, Ohio.",,https://www.oliveai.com,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Science and Engineering, Software",,Series H,751,Late Stage Venture,2,2021,Series H,9,,400000000,400000000,856322171,856322171,Made Acquisitions,7,,,3,,,,,0,2023,,,,300000000,,,,,,,,,,,,1140242.571,399467.3768,532623.1691,,,,,"Artificial Intelligence (AI), Software, Machine Learning",Technology & Software,1,yes
Kalray,https://www.crunchbase.com/organization/kalray,$1M to $10M,"Artificial Intelligence (AI), Cloud Computing, Computer, Computer Vision, Hardware, Information Technology, Infrastructure, Robotics, Semiconductor, Software",6736,"DPU, Hardware, Software, AI, Edge compunting, 4.0 Industry, Infrastructure, Machine Learning, Deep Learning, Robotics, Life Science",Active,2008,For Profit,2018,https://twitter.com/Kalrayinc,46,,,http://www.linkedin.com/company/kalray,,,,,,,,"Montbonnot, Rhone-Alpes, France",+33 (0) 4 76 18 90 71,"Kalray (Euronext Growth Paris: ALKAL) is a leading provider of hardware and software technologies and solutions for high-performance, data-centric computing markets, from cloud to edge. Kalray provides a full range of products to enable smarter, more efficient, and energy-wise data-intensive applications and infrastructures. Its offerings include its unique patented DPU (Data Processing Unit) processors and acceleration cards as well as its leading-edge software-defined storage, and data management offers. Separated or in combination, Kalray’s high-performance solutions allow its customers to improve the efficiency of data centers or design the best solutions in fast-growing sectors such as AI, Media & Entertainment, Life Sciences, Scientific Research, Edge Computing, Automotive and others. Founded in 2008 as a spin-off of the well-known French CEA research lab, with corporate and financial investors such as Alliance Venture (Renault-Nissan-Mitsubishi), NXP Semiconductors or Bpifrance, Kalray is dedicated through technology, expertise, and passion to offer more: more for a smart world, more for the planet, more for customers and developers. www.kalrayinc.com",,https://www.kalrayinc.com/,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Information Technology, Internet Services, Other, Science and Engineering, Software",,Post-IPO Debt,176,M&A,1,2024,Post-IPO Equity,6,,16088965,25687103,80296446,96385412,"Made Acquisitions, Was Acquired",2,Pliops,https://www.crunchbase.com/organization/pliops,1,Merger,,2024,,1,,Growing,,2018,5500000,10,10,-6,,,,,,,,,547644.3864,31250,91414.57386,1608896.5,9638541.2,0.6,3125,"Software, Robotics, Infrastructure",Technology & Software,1,yes
Chariot,https://www.crunchbase.com/organization/chariot-4,,"Information Technology, Transportation",31188,Chariot allows passengers to ride a shuttle between home and work during commuting hours.,Closed,2014,For Profit,2016,https://twitter.com/chariot,98,,,https://www.linkedin.com/company/chariotsf/,,https://www.facebook.com/ridechariot,,,hello@chariot.com,,,"San Francisco, California, United States",1 (888) 735-5079,"Chariot is focused on creating the world's first self-sustainable mass-transit system that relieves congestion while offering a comfortable, personalized commuting experience. The core of their mission is universal access to better transportation. They envision cities where every commuter takes Chariot to work and home — regardless of income or location — which is why they prioritize affordability and flexibility as they expand. When the world runs on smarter routes, lower costs, and better ride experiences, we'll collectively take cars off the road and transform their twice-daily frustration into a part of your day you actually look forward to. Chariot has expanded and they are now operating in Austin, Seattle, New York, Columbus, Chicago, Denver, Detroit, Los Angeles and London, in addition to their first market, San Francisco.",,https://www.chariot.com,,"Information Technology, Transportation",,Venture - Series Unknown,751,M&A,2,2016,Venture - Series Unknown,2,,3000000,3000000,6000000,6000000,Was Acquired,,Ford Smart Mobility,https://www.crunchbase.com/organization/ford-smart-mobility,,Acquisition,,2016,,0,,,,,,,2,,,,,,,,,,7989.347537,,3994.673768,,,,,"Information Technology, Transportation",Technology & Software,0,no
Reflexion Health,https://www.crunchbase.com/organization/reflexion-health,$1M to $10M,"Health Care, Hospital, Medical, Medical Device, Software",46888,"Reflexion Health, Inc. develops and publishes a prescription software for medical professionals and their patients. It offers a rehab",Closed,2012,For Profit,,http://twitter.com/ReflexionHealth,26,,,http://www.linkedin.com/company/2653778,,http://www.facebook.com/pages/ReflexionHealth/371112432946179,,,info@reflexionhealth.com,,,"San Diego, California, United States",619.550.4500,"Reflexion Health, Inc. develops and publishes a prescription software for medical professionals and their patients. It offers a rehab measurement tool to track patient adherence for the prescribed rehab plan. The company was incorporated in 2012 and is based in San Diego, California.",,http://reflexionhealth.com,,"Health Care, Software",,Series B,76,Early Stage Venture,2,2016,Series B,3,,18000000,18000000,29750000,29750000,,1,,,,,,,,0,,,,,5500000,,,,,,,,,,,,391447.3684,72368.42105,236842.1053,,,,,"Software, Medical, Health Care",Technology & Software,0,no
DocuSign,https://www.crunchbase.com/organization/docusign,$1B to $10B,"Business Process Automation (BPA), Cloud Management, Computer, E-Signature, Information Technology, SaaS, Software",297,"DocuSign helps small- and medium-sized businesses collect information, automate data workflows, and sign on various devices.",Active,2003,For Profit,2018,http://twitter.com/DocuSign,1821,"Exited Unicorn, Pledge 1%",1,http://www.linkedin.com/company/docusign,,http://www.facebook.com/DocuSign,,1,info@docusign.com,,6,"San Francisco, California, United States",866-219-4318,"DocuSign operates a cloud-based electronic signature platform that helps small- and medium-sized businesses, enterprises, and individuals collect information, automate data workflows, and sign on various devices. The company’s platform automates manual and paper-based processes that allow users to manage various aspects of documented business transactions, including identity management, authentication, digital signature, forms and data collection, collaboration, and workflow automation and storage. The company also provides training and support services. Its platform serves the sales, human resources, finance, information technology, operations, legal, marketing, facilities, support, product management, and procurement departments in the financial services, healthcare, technology, higher education, insurance, real estate, life sciences, and government sectors in the United States and internationally. DocuSign was incorporated in 2003 and is based in San Francisco, California with additional offices in London, Sydney, Sao Paulo, and Dublin.",2,http://www.docusign.com,6,"Consumer Electronics, Hardware, Information Technology, Internet Services, Privacy and Security, Software",2,Secondary Market,3001,IPO,1,2017,Series F,20,4498000000,,300000000,534199999,536199999,Made Acquisitions,12,,,9,,,,629000000,1,2024,Growing,2023,2018,5500000000,15,15,1,,14.99333333,8.388660963,8.420067406,,2.096666667,1.173069752,1.177461627,178673.7751,1832722.426,,,35746666.6,1.333333333,122181.4951,"Information Technology, Software, SaaS",Technology & Software,1,yes
Vobile,https://www.crunchbase.com/organization/vobile,$1M to $10M,"Digital Entertainment, Information Technology, Video",10059,"Vobile offers complete solutions to protect, measure, and monetize the best movies and TV content across the Internet and on all screens.",Active,2005,For Profit,2019,https://twitter.com/Vobile,86,,,http://www.linkedin.com/company/vobile,,http://www.facebook.com/pages/Vobile/225478027618114,,,info@vobileinc.com,,,"Santa Clara, California, United States",(408)217-5000,"Vobile is the worldwide leader in video and audio content protection, measurement, and monetization services. Its patented core VDNA technologies enable fully automated identification, tracking, and management of any video and audio content with high accuracy and scalability. Vobile operates the VDNA Database (VDDB), which is the most comprehensive database of authorized video fingerprints, metadata, and business rules from major movie studios, television networks, and record labels.  Founded in 2005, the company is headquartered in Santa Clara, California, with additional offices in the United States, Japan, and Hong Kong.",,http://www.vobilegroup.com,,"Information Technology, Media and Entertainment, Video",,Post-IPO Debt,176,IPO,1,2022,Series D,6,,127000000,17100000,54550000,181550000,Made Acquisitions,2,,,2,,,,,1,,Growing,,2019,5500000,14,14,-3,,,,,,,,,1031534.091,31250,721590.9091,9071428.571,12967857.14,0.428571429,2232.142857,"Digital Entertainment, Information Technology, Video",Technology & Software,1,yes
Zhejiang Century Huatong Group,https://www.crunchbase.com/organization/zhejiang-century-huatong-group,$1B to $10B,"Information Technology, Internet, Online Games",14307,Zhejiang Century Huatong Group engages in the development and operation of Internet games.,Active,2005,For Profit,2011,,2,,,https://www.linkedin.com/company/zhejiang-century-huatong-automotive-part-co-ltd,,,,,sjhuatong@sjhuatong.com,,,"Shaoxing, Zhejiang, China",0575-82218511,"Zhejiang Century Huatong Group is a gaming firm. It is a group of companies that provide internet games, production, and sales of automotive plastic parts and metal stamped parts. It is also a secondary supplier of auto parts, mainly engaged in the research and development, manufacture, and sales of plastic parts for automobiles and related molds.",,http://www.sjhuatong.com/,,"Gaming, Information Technology, Internet Services",,Post-IPO Equity,3001,IPO,,2021,Post-IPO Equity,2,,429000000,429000000,429000000,429000000,Made Acquisitions,1,,,4,,,,,1,,Growing,,2011,5500000000,6,6,-10,,,,,,,,,142952.3492,1832722.426,142952.3492,71500000,71500000,0.333333333,305453.7376,"Information Technology, Internet, Online Games",Technology & Software,1,yes
Similarweb,https://www.crunchbase.com/organization/similarweb,$10M to $50M,"Analytics, Artificial Intelligence (AI), Business Intelligence, Market Research",427,SimilarWeb offers an AI-based market intelligence platform that helps monitor web and mobile app traffic.,Active,2007,For Profit,2021,http://twitter.com/SimilarWeb,869,,,http://www.linkedin.com/company/similarweb,,http://www.facebook.com/pages/SimilarWeb/171738362968027,,,info@similarweb.com,,,"New York, New York, United States",800-540-1086,"SimilarWeb offers an AI-based market intelligence platform that helps monitor web and mobile app traffic. The company gives a global multi-device market intelligence to understand, track, and grow digital market share. It allows the user to gain insight into any website's statistics and strategy. SimilarWeb was founded in 2007 and headquartered in New York, it has offices in Israel, the UK, France, Japan, and Australia.",,http://www.similarweb.com,,"Artificial Intelligence (AI), Data and Analytics, Design, Science and Engineering, Software",,Series F,3001,IPO,2,2020,Series F,10,,120000000,120000000,235200000,235200000,Made Acquisitions,3,,,6,,,,,1,2022,Growing,2024,2021,30000000,14,14,1,,,,,,,,,78373.87537,9996.667777,39986.67111,8571428.571,16800000,0.714285714,714.0476984,"Artificial Intelligence (AI), Market Research, Business Intelligence",Technology & Software,1,yes
Resolve Systems,https://www.crunchbase.com/organization/resolve-systems,$10M to $50M,"Information Technology, Software",25086,Resolve Systems is the global leader in accelerating incident resolutions for IT operations.,Closed,2008,For Profit,2017,https://twitter.com/ResolveSystems,21,,,https://www.linkedin.com/company/163969,,https://www.facebook.com/ResolveSoftwareSystem,,,marketing@resolvesystems.com,,,"Irvine, California, United States",+1 (949) 325-0125,"Resolve Systems was founded by individuals with extensive experience in working with IT Operations, Security Operations, Network Operations and Customer Care. What makes us different is our ability to enable the automation of select steps in engineer-driven resolution procedure, as well as embed specific content into any procedure on a step-by-step basis. The Resolve Software also includes real-time incident resolution collaboration, the ability to capture a record of every resolution, and a complete workflow for continuous procedure improvement. Gartner estimates that traditional automation solutions do not address up to 85% of incident resolution processes that can be automated. Other products have focused solely on the “end-to-end” automation of a limited number of resolution processes. Resolve makes a bigger impact on productivity by combining full automation capabilities with the ability to easily automate select tasks within any engineer or customer care agent driven resolution process.",,https://resolve.io/,,"Information Technology, Software",,Seed,76,M&A,2,2020,Seed,1,,500000,500000,500000,500000,"Made Acquisitions, Was Acquired",,Insight Partners,https://www.crunchbase.com/organization/insight-partners,2,Acquisition,,2017,,0,,,2023,,30000000,,9,,,,,,,,,,6578.947368,394736.8421,6578.947368,,,,,"Information Technology, Software",Technology & Software,0,no
Shift,https://www.crunchbase.com/organization/shiftcars,$10M to $50M,"Automotive, E-Commerce, Logistics, Marketplace, Retail Technology",1250,Shift is an online marketplace for buying and selling used cars.,Active,2013,For Profit,2020,https://www.twitter.com/driveshift,226,,,https://www.linkedin.com/company/shift-cars,,https://www.facebook.com/shiftcars,,,support@shift.com,,,"San Francisco, California, United States",(855)744-3801,"Shift is an online marketplace for buying and selling used cars.  Acting as a personal concierge service, the company details cars, lists them on multiple lists, handles test drives, and finds intent buyers. Charging a Shift Service Fee for registration, car prep services, and sales tax, Shift provides customers with a 150-point concierge report that includes specs, high-resolution photos, vehicle history, and results on their cars before purchase.",,http://shift.com,,"Commerce and Shopping, Hardware, Software, Transportation",,Post-IPO Debt,376,IPO,5,2022,Post-IPO Equity,11,730000000,20000000,185000000,414000000,504000000,Made Acquisitions,5,,,3,,,,,1,2023,,2023,2020,30000000,7,7,-2,36.5,3.945945946,1.448412698,1.763285024,,,,,1340425.532,79787.23404,53191.48936,2857142.857,72000000,1.571428571,11398.17629,"Marketplace, Retail Technology, Logistics",Technology & Software,1,yes
2U,https://www.crunchbase.com/organization/2u,$500M to $1B,"Cloud Computing, EdTech, Education, Software",1383,2U is a cloud-based Software-as-a-Service platform that provides schools with the comprehensive operating infrastructure.,Active,2008,For Profit,2014,http://twitter.com/2uinc,88,,,https://www.linkedin.com/company/2u,,https://www.facebook.com/2UInc/,,,careers@2u.com,,2,"Hyattsville, Maryland, United States",(301) 892-4350,"2U is a cloud-based Software-as-a-Service platform providing schools with the comprehensive operating infrastructure they need to attract, enroll, educate, support, and graduate students globally. Blending live face-to-face classes, dynamic course content, and real-world learning experiences, 2U’s No Back Row approach ensures that every student can experience the high-quality university education for the most successful outcome. The platform partners with universities to offer online degree programs. 2U supplies universities with the tools, expertise, capital, and global recruiting needed to compete in a space currently dominated by unexceptional programs, while developing state-of-the-art technology platforms that enhance traditional offline curricula to create transformative instruction using the best educational and Web 2.0 technologies. The platform provides the vital logistical components of any online program, including comprehensive student support services from enrollment through graduation and beyond as well as practical learning experiences within distant communities around the country. 2U partners with colleges and universities to deliver the world’s best online degree programs so students everywhere can reach their full potential. It was launched in 2008 and is based in Hanover, M.D.",,http://2u.com,2,"Education, Internet Services, Software",,Post-IPO Equity,3001,M&A,3,2018,Post-IPO Equity,7,508694433,331000000,331000000,426875000,426875000,"Made Acquisitions, Was Acquired",4,Sachem Head,https://www.crunchbase.com/organization/sachem-head,4,Acquisition,,2019,119275000,1,2023,,2023,2014,750000000,6,6,-4,1.536841187,1.536841187,1.191670707,1.191670707,0.360347432,0.360347432,0.279414348,0.279414348,142244.2519,249916.6944,110296.5678,55166666.67,71145833.33,1.166666667,41652.78241,"Software, Cloud Computing, Education",Technology & Software,1,yes
Haven,https://www.crunchbase.com/organization/haven,$1M to $10M,"Logistics, Shipping, Software, Supply Chain Management, Transportation",13181,Haven is a logistics automation software for commodity producers and their customers.,Closed,2014,For Profit,2021,https://twitter.com/HavenInc,17,,,https://www.linkedin.com/company/haven-tms/,,https://www.facebook.com/haven.tms/,,,info@haveninc.com,,,"San Francisco, California, United States",888-838-3868,"Haven builds software for commodity producers, traders, and their customers who need to save time managing complex international logistics. Its software automates trade, enables collaboration, and provides detailed visibility into a shipper’s supply chain. It was founded in 2014 and is based in San Francisco, California.",,https://www.fourkites.com/haven,,"Software, Transportation",,Venture - Series Unknown,31,M&A,3,2019,Venture - Series Unknown,4,,5378446,5378446,19378446,19378446,Was Acquired,1,FourKites,https://www.crunchbase.com/organization/fourkites,,,,2021,,0,,,,,5500000,,7,,,,,,,,,,625111.1613,177419.3548,173498.2581,,,,,"Software, Logistics, Transportation",Technology & Software,0,no
