Organization Name,Organization Name URL,Estimated Revenue Range,Industries,CB Rank (Company),Description,Operating Status,Founded Date,Company Type,Exit Date,Twitter,Number of Articles,Hub Tags,Number of Lead Investments,LinkedIn,Actively Hiring,Facebook,Investor Type,Number of Sub-Orgs,Contact Email,Investment Stage,Headquarters Location,Phone Number,Full Description,Number of Exits (IPO),Website,Industry Groups,Number of Exits,Last Funding Type,Number of Employees,Funding Status,Number of Founders,Last Funding Date,Last Equity Funding Type,Number of Funding Rounds,Valuation at IPO (in USD),Last Funding Amount (in USD),Last Equity Funding Amount (in USD),Total Equity Funding Amount (in USD),Total Funding Amount (in USD),Acquisition Status,Number of Lead Investors,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Type,Money Raised at IPO (in USD),IPO Status,Growth Category,IPO Date,Adjusted Valuation According to Inflation,Numerical Revenue Range,IPO Date - Founded Date,Exit Date - Founding Date,IPO Date - Last_Funding_Date,Valuation_at_IPO / Last_Funding,Valuation_at_IPO_per_Last_Equity_Funding,Valuation_at_IPO / Total_Funding,Valuation_at_IPO / Total_Equity_Funding,Money_Raised_at_IPO / Last_Funding,Money_Raised_at_IPO / Last_Equity_Funding,Money_Raised_at_IPO / Total_Funding,Total funding amount / number of employees,Last funding amount / number of employees,Last funding amount / ( ipo - founded date ),Total funding amount / (ipo - founded date),Number of funding rounds / (ipo - founde date),ind_update,narrowed_industry,success
Donut,https://www.crunchbase.com/organization/donutapp,Less than $1M,"Apps, Cryptocurrency, FinTech","13,936",Save & earn high yield with DeFi.,Closed,2018,For Profit,,https://twitter.com/donutapp,7,,,,,,,,hello@donut.app,,"Los Angeles, California, United States",,"Donut helps discover new ways to build wealth, by providing the easiest way to save & earn high yield with DeFi.",,https://donut.app,"Apps, Blockchain and Cryptocurrency, Financial Services, Payments, Software",,Seed,31,Seed,1,2021,Seed,3,,,,3800000,3800000,,3,,,,,,Private,,,,,,,,,,,,,,,122580.6452,,,,,"Apps, Cryptocurrency, FinTech",Financial Services & Fintech,Yes
Nuri,https://www.crunchbase.com/organization/nuribanking,$10M to $50M,"Banking, Bitcoin, Blockchain, Cryptocurrency, Financial Services, FinTech","14,294",Nuri empowers people to manage and grow their wealth through innovative technologies.,Closed,2015,For Profit,,https://twitter.com/nuribanking,31,,,https://www.linkedin.com/company/nuribanking/mycompany/?viewAsMember=true,,https://www.facebook.com/NuriBanking/,,,,,"Berlin, Berlin, Germany",,Nuri empowers people to manage and grow their wealth through innovative technologies.,,https://nuri.com/,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other, Payments, Software",,Venture - Series Unknown,176,,3,2024,Venture - Series Unknown,10,,,,49092136,49174004,,10,,,,,,Private,,,,,,,,,,,,,,,279397.75,,,,,"Financial Services, FinTech, Cryptocurrency",Financial Services & Fintech,Yes
Jupiter Exchange,https://www.crunchbase.com/organization/jupiter-exchange,,Financial Services,"14,666","Jupiter Exchange was a NYC-based alternative asset exchange using fractional NFT technology. (NOT Jupiter exchange aka ""Jupiter Swap"")",Closed,2022,For Profit,,,3,,,,,,,,,,"New York, New York, United States",,"Jupiter curates iconic objects and makes fractional ownership available to anyone through its digital marketplace and exchange. The company establishes a process where the ownership of each carefully curated item, such as fine art, cars, sneakers, and pop culture memorabilia, is minted as an NFT and fractionalized into individual ownership tokens. Once sold out on the marketplace, the item is listed on the exchange and available through a traditional bid-ask model. (NOT Jupiter exchange aka ""Jupiter Swap"")",,https://jupiterexchange.com/,Financial Services,,Seed,76,Seed,1,2022,Seed,1,,5000000,5000000,5000000,5000000,,1,,,,,,Private,,,,,,,,,,,,,,,65789.47368,65789.47368,,,,Financial Services,Financial Services & Fintech,Yes
Telenor Microfinance Bank (TMB),https://www.crunchbase.com/organization/tameer-microfinance-bank,$100M to $500M,"Banking, Financial Services","16,931",Telenor Microfinance Bank operates as a commercial microfinance bank.,Closed,2005,For Profit,2016,,2,,,https://www.linkedin.com/company/telenormicrofinancebanklimited,,,,,webmaster@tameerbank.com,,"Dera Ismail Khan, North-West Frontier, Pakistan",9.22E+12,"Telenor Microfinance Bank Limited operates as a commercial microfinance bank. The company provides micro mortgage for crop and trade financing; business and emergency loans; micro leasing; term deposit accounts; micro savings; and group loans to men and women in urban and rural areas. It serves low-income, salaried, self-employed, and micro entrepreneurs.",,https://www.telenorbank.pk/index.html,"Financial Services, Lending and Investments",,Private Equity,10001,M&A,3,2018,Private Equity,1,,184500000,184500000,184500000,184500000,Was Acquired,1,Telenor,https://www.crunchbase.com/organization/telenor,,Acquisition,,Private,,,,,,11,,,,,,,,,18448.15518,18448.15518,,,,"Banking, Financial Services",Financial Services & Fintech,Yes
Home Credit Philippines,https://www.crunchbase.com/organization/home-credit-philippines,$100M to $500M,"Consumer, Finance, Financial Services","17,571",Home Credit Philippines is a consumer finance company that provides loans to consumers.,Closed,2021,For Profit,,https://www.twitter.com/homecreditph,1,,,https://www.linkedin.com/company/home-credit-philippines/,,,,,info@homecredit.ph,,"Quezon City, Quezon City, Philippines",(02) 7753 5711,,,https://homecredit.ph/,"Financial Services, Other",,Debt Financing,3001,,1,2024,,1,,125067000,,,125067000,,1,,,,,,Private,,,,,,,,,,,,,,,41675.1083,41675.1083,,,,"Consumer, Finance, Financial Services",Financial Services & Fintech,Yes
Cyence,https://www.crunchbase.com/organization/cyence,$10M to $50M,"Computer, Cyber Security, Insurance, Software","17,870",Cyence empowers the insurance industry to understand the economic impact of cyber risk.,Closed,2014,For Profit,2017,https://twitter.com/CyencePlatform,6,,,https://www.linkedin.com/company/cyence,Yes,,,,contact@cyence.net,,"San Mateo, California, United States",(650)477-2600,"Cyence has developed the industry’s first economic cyber risk modeling platform quantifying cyber risk in probabilities and dollars. Cyence’s unique solutions help the insurance industry more effectively manage cyber risk from prospecting and selecting, to assessment and pricing, and managing portfolios, exposures and accumulations.",,https://guidewire.com,"Consumer Electronics, Financial Services, Hardware, Information Technology, Privacy and Security, Software",,Series A,76,M&A,2,2016,Series A,1,,40000000,40000000,40000000,40000000,Was Acquired,2,Guidewire Software,https://www.crunchbase.com/organization/guidewire-software,,Acquisition,,Private,,,,,,3,,,,,,,,,526315.7895,526315.7895,,,,"Insurance, Cyber Security, Software",Financial Services & Fintech,Yes
Greensill Capital,https://www.crunchbase.com/organization/greensill-capital,$100M to $500M,"Commercial Lending, Finance, Financial Services, FinTech, Lending","18,368",Greensill Capital is a provider of structured working capital financing to businesses globally.,Closed,2011,For Profit,,https://twitter.com/greensillcap,131,,1,https://www.linkedin.com/company/greensill/,,,,,info@greensill.com,,"London, England, United Kingdom",+44 20 3436 2000,"Reformers at heart, Greensill challenges the status quo by working to make global finance fairer and levelling the playing field for all businesses and people alike. The company unlocks capital so the world can put it to work. Founded in 2011, Greensill is headquartered in London with offices in New York, Frankfurt, Chicago, Miami, Singapore, Sao Paulo, Mexico City, Johannesburg, Sydney, Warrington and Bundaberg. Greensill provides innovative financing solutions to customers across Europe, North America, Latin America, Middle East, Africa, and Asia – injecting more than $150 billion of financing in 2019 to more than 8 million customers and suppliers across more than 175 countries.",,http://www.greensill.com/,"Financial Services, Lending and Investments",,Private Equity,3001,Private Equity,2,2019,Private Equity,3,,655000000,655000000,1705000000,1705000000,Made Acquisitions,2,,,4,,,Private,,,,,,,,,,,,,,,568143.952,218260.5798,,,,"Lending, Financial Services, Finance",Financial Services & Fintech,Yes
Tilt,https://www.crunchbase.com/organization/crowdtilt,$50M to $100M,"Broadcasting, Crowdfunding, Education, Finance, Internet, Payments","19,045","Tilt allows users to pool funds for objectives in a simple, social, and frictionless way online.",Closed,2012,For Profit,2017,http://twitter.com/tilt,236,,,https://www.linkedin.com/company/2194230,,http://www.facebook.com/tilt,,,press@tilt.com,,"San Francisco, California, United States",415 361 8844,"Tilt. com is a free and simple way for individuals to collect money with a group, while enterprise tools like Tilt Pro allow businesses to host, brand, and customize their own crowdfunding experience. We all love doing things as a group. Like most experiences, it's not what you do – it's the people you do it with that really matters. So at Tilt, we’re excited to be building software that makes pooling resources with a group just a little bit easier. Since 2012, over 500,000 groups have used Tilt to turn their ideas, large and small, into reality. Our users have done a lot to make us proud, from thousands of tailgates, fantasy football leagues, and party buses, all the way to sending the Jamaican Bobsled Team to the Sochi Olympics, fundraising the construction of an entire elementary school in India, and bringing the Foo Fighters to perform in their home town. Tilt - make something happen!",,http://www.tilt.com,"Education, Financial Services, Internet Services, Media and Entertainment, Payments, Video",,Seed,176,M&A,2,2020,Seed,6,,187500,187500,62287500,62287500,Was Acquired,1,Airbnb,https://www.crunchbase.com/organization/airbnb,,Acquisition,,Private,,,,,,5,,,,,,,,,353906.25,1065.340909,,,,"Payments, Internet, Finance",Financial Services & Fintech,Yes
BitClout,https://www.crunchbase.com/organization/bitclout,,"Bitcoin, Cryptocurrency, Open Source","19,140",BitClout is an open-source social media platform that builds a Proof-of-Work blockchain for its users.,Closed,2021,For Profit,,https://twitter.com/bitclout_?lang=en,33,,,https://www.linkedin.com/company/bitclout/?trk=public_profile_topcard-current-company,,https://www.facebook.com/bit.clout/,,,,,"Osaka, Osaka, Japan",,"BitClout is an open-source social media platform that builds a Proof-of-Work blockchain for its users. BitClout is a new type of social network that speculates on people and posts with real money, and it’s built from the ground up as its own custom blockchain. Its architecture is similar to Bitcoin, only it can support complex social network data like posts, profiles, follows, speculation features, and much more at significantly higher throughput and scale.",,http://BitClout.com,"Blockchain and Cryptocurrency, Financial Services, Payments, Software",,Initial Coin Offering,6,,1,2021,Initial Coin Offering,2,,200000000,200000000,200000000,200000000,Made Acquisitions,,,,1,,,Private,,,,,,,,,,,,,,,33333333.33,33333333.33,,,,"Bitcoin, Cryptocurrency, Open Source",Financial Services & Fintech,Yes
BFS Capital,https://www.crunchbase.com/organization/bfs-capital,$50M to $100M,"Finance, Financial Services","19,264","In 2021 BFS became Nuula, a mobile platform that gives small business owners instant access to critical business metrics anytime, anywhere.",Closed,2002,For Profit,,,7,,,,,,,,customersuccess@bfscapital.com,,"Coral Springs, Florida, United States",+1 866-905-4334,"BFS Capital provided personalized business loans of up to $500,000 to small and medium sized businesses, with no upfront fees or hidden costs from 2002 to 2021. In 2021 BFS became Nuula, a mobile platform that gives small business owners instant access to critical business metrics anytime, anywhere, as well as unlocking access to the smartest and most innovative financial solutions available",,https://www.bfscapital.com,Financial Services,,Venture - Series Unknown,76,,2,2020,Venture - Series Unknown,3,,6000000,6000000,15000000,190000000,,1,,,,,,Private,,,,,,,,,,,,,,,2500000,78947.36842,,,,"Finance, Financial Services",Financial Services & Fintech,Yes
M-Pesa,https://www.crunchbase.com/organization/m-pesa,$1M to $10M,"Finance, Financial Services, Payments","19,502","M-Pesa is a fast, secure and convenient way to transact on mobile brought to you by Vodafone.",Closed,2007,For Profit,2020,,135,,,,,,,,961.8857.279@vodafone.com,,"Mumbai, Maharashtra, India",961.8857.279,"M-Pesa is a fast, secure, and convenient way to transact on mobile brought to you by Vodafone.",,https://www.mpesa.in,"Financial Services, Payments",,Corporate Round,76,M&A,2,2019,Corporate Round,1,,3937939,3937939,3937939,3937939,Was Acquired,1,Vodacom,https://www.crunchbase.com/organization/vodacom,,Acquisition,,Private,,,,,,13,,,,,,,,,51814.98684,51814.98684,,,,"Finance, Financial Services, Payments",Financial Services & Fintech,Yes
Lance,https://www.crunchbase.com/organization/lance,$1M to $10M,"Financial Services, Freelance, Software","20,348",Lance is a smart business banking account for the self-employed built by and for freelancers to proactively manage their backend finances.,Closed,2018,For Profit,,https://twitter.com/hq_lance,7,,,https://www.linkedin.com/company/lanceco/,,https://www.facebook.com/LanceBank.co,,,hello@lancebank.co,,"New York, New York, United States",,"Lance is a smart business banking account for the self-employed built by and for freelancers to proactively manage their backend finances. It understands the world of freelancers has become a juggling act across client management platforms and financial services - with backend tools still built for SMB needs. Freelancers deserve a mobile-first, intuitive delivery of the finances they care about the most today and the community guidance to help them grow into the future.",,https://www.lance.app,"Financial Services, Professional Services, Software",,Convertible Note,6,Seed,5,2022,Seed,8,,,2800000,4742410,4742410,,2,,,,,,Private,,,,,,,,,,,,,,,790401.6667,,,,,"Financial Services, Freelance, Software",Financial Services & Fintech,Yes
Finn AI,https://www.crunchbase.com/organization/finn-ai,$1M to $10M,"Accounting, Apps, Artificial Intelligence (AI), Banking, Finance, Financial Services, FinTech, Mobile, Social Media, Software","20,887",Finn AI provides AI-powered conversational banking technology for personal banking and finance.,Closed,2014,For Profit,2022,https://twitter.com/finnforbanks,59,Pledge 1%,,https://www.linkedin.com/company/payso-inc,,https://www.facebook.com/finnthebankbot,,,info@finn.ai,,"Vancouver, British Columbia, Canada",1(604) 256-8005,"Finn AI provides AI-powered conversational banking technology for personal banking and finance. It puts a personal banker in every bank customer’s pocket, helping them to manage their money wherever they are, whatever they need via a simple, natural conversation. The Finn AI team of data scientists, engineers, and financial industry experts helps banks and credit unions transform customer engagement and increase financial literacy while delivering the convenience and savings of a digital-first experience. It has public deployments in three languages with a growing global customer base that includes ATB Financial, Bank of Montreal (BMO), Banpro Grupo Promerica, and Commonwealth Bank. The company was founded in 2014 and is headquartered in Vancouver, British Columbia.",,http://finn.ai,"Apps, Artificial Intelligence (AI), Data and Analytics, Financial Services, Internet Services, Lending and Investments, Media and Entertainment, Mobile, Professional Services, Science and Engineering, Software",,Series A,76,M&A,3,2018,Series A,4,,10687610,10687610,13897610,13918352,Was Acquired,4,Glia,https://www.crunchbase.com/organization/salemove,,Acquisition,,Private,,,,,,8,,,,,,,,,183136.2105,140626.4474,,,,"Banking, Artificial Intelligence (AI), Finance",Financial Services & Fintech,Yes
MoneyOnMobile,https://www.crunchbase.com/organization/money-on-mobile,$10M to $50M,"E-Commerce, Financial Services, Mobile, Mobile Payments","20,952",MoneyOnMobile is India's largest mobile payment platform that facilitates safe and easy financial transactions to millions of Indians,Closed,2010,For Profit,,http://twitter.com/MoneyOnMobileIR,43,,,https://www.linkedin.com/company/moneyonmobile,,https://www.facebook.com/MoneyOnMobile.Official/,,,info@moneyonmobile.in,,"Mumbai, Maharashtra, India",(214)758-8609,"MoneyOnMobile, Inc. is a global mobile payments technology and processing company offering mobile payment services through its Indian subsidiary. MoneyOnMobile enables Indian consumers to use mobile phones to pay for goods and services or transfer funds from one cell phone to another. It can be used as simple SMS text functionality or through the MoneyOnMobile application or Internet site. MoneyOnMobile has more than 335,000 retail locations throughout India.",,http://moneyonmobile.store/,"Commerce and Shopping, Financial Services, Mobile, Payments, Software",,Post-IPO Equity,376,,3,2018,Post-IPO Equity,6,,5500000,5500000,36400000,37900000,,2,,,,,,Private,,,,,,,,,,,,,,,100797.8723,14627.65957,,,,"Mobile, Financial Services, Mobile Payments",Financial Services & Fintech,Yes
Visor,https://www.crunchbase.com/organization/visor,Less than $1M,"Financial Services, FinTech","22,190",Tax advisory for the masses,Closed,2016,For Profit,,,1,,,,,,,,,,"Long Beach, California, United States",,,,http://www.visor.com,Financial Services,,Series A,76,Early Stage Venture,3,2018,Series A,2,,9000000,9000000,15500000,15500000,,2,,,,,,Private,,,,,,,,,,,,,,,203947.3684,118421.0526,,,,"Financial Services, FinTech",Financial Services & Fintech,Yes
Revix UK Limited,https://www.crunchbase.com/organization/revix,$1M to $10M,"Cryptocurrency, Finance, FinTech","22,290","Revix is a multi-asset, B2B and B2C, WealthTech business with the overarching mission to enable everyone to grow and manage their own wealth",Closed,2018,For Profit,,https://twitter.com/revixinvest,2,,,https://www.linkedin.com/company/revixinvest,,https://www.facebook.com/RevixInvest,,,support@revix.com,,"London, England, United Kingdom",,"Revix stands for revolutionary investment experience and this is fundamental to what we do as it underpins everything from the way a user feels when making an investment on our app to the rewards they earn for achieving a savings goal. We strive to innovate how it feels to invest and save — to fundamentally change the experience itself into something more engaging, automated & effortless.  Through our B2C division, we’re building the SoFi/WealthFront/Betterment of Africa & the Middle East — with a primary product focus on crypto assets, crypto index funds, & thematic ETFs. Through our B2B division, we enable emerging market banks & online brokers to easily offer crypto assets to their clients via our crypto API suite. We’ve partnered with Africa’s largest bank with 18.2m users to launch crypto assets on their digital platforms across 16 African nations. At Revix, we initially focused on ready-made crypto index funds for the under/un-tapped African market. This enabled us to differentiate ourselves from traditional crypto exchanges, attract >50k sticky customers & launch both traditional & alternative savings & investment products. Today, we separate ourselves from competitors by offering an engaging behavioural-based rewards program ​that ​incentivises​, nudges & rewards​ smart money management while also making the experience of ​managing money simple, automated & elegant.",,https://www.revix.com,"Blockchain and Cryptocurrency, Financial Services, Payments, Software",,Seed,31,Seed,2,2021,Seed,4,,,,5024524,5024524,,3,,,,,,Private,,,,,,,,,,,,,,,162081.4194,,,,,"Cryptocurrency, Finance, FinTech",Financial Services & Fintech,Yes
Ziglu,https://www.crunchbase.com/organization/ziglu,$10M to $50M,"Banking, Bitcoin, Blockchain, Cryptocurrency, Financial Exchanges, Financial Services, FinTech","22,541",Ziglu provides a digital platform that enables customers to exchange fiat currency for cryptocurrency.,Closed,2018,For Profit,2022,https://twitter.com/ZigluMoney,67,,,https://www.linkedin.com/company/ziglu,,https://www.facebook.com/ziglumoney,,,hello@ziglu.io,,"London, England, United Kingdom",+44 2039018606,"Ziglu’s mission is fairness and financial inclusion, empowering everyone to participate in the world of cryptocurrencies, quickly, safely, and affordably. Ziglu offers transparent pricing, and intuitive access to a range of cryptocurrencies including Bitcoin, Bitcoin Cash, Ether, and Litecoin.",,https://www.ziglu.io,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other, Payments, Software",,Venture - Series Unknown,31,M&A,4,2022,Venture - Series Unknown,5,,,,31268695,31268695,Was Acquired,2,Robinhood,https://www.crunchbase.com/organization/robinhood,,Acquisition,,Private,,,,,,4,,,,,,,,,1008667.581,,,,,"Cryptocurrency, Financial Services, Financial Exchanges",Financial Services & Fintech,Yes
Flyreel,https://www.crunchbase.com/organization/flyreel,$1M to $10M,"Artificial Intelligence (AI), Insurance, InsurTech, Machine Learning, Mobile, Property Insurance, PropTech","22,606","Flyreel, AI for self-service property inspections & claims",Closed,2016,For Profit,2022,https://twitter.com/flyreelai,19,,,https://www.linkedin.com/company/flyreel/,,,,,info@flyreel.co,,"Denver, Colorado, United States",,"Flyreel provides total property understanding. Its AI Assistant guides policyholders through effortless self-service inspections and claims workflows, thoroughly documenting interior and exterior data like property risks, hazards, features, materials, and more.",,https://flyreel.co,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Mobile, Real Estate, Science and Engineering, Software",,Series A,31,M&A,3,2020,Series A,5,,10000000,10000000,16000000,18000000,Was Acquired,2,LexisNexis Risk Solutions,https://www.crunchbase.com/organization/lexisnexis-risk-solutions-2,,Acquisition,,Private,,,,,,6,,,,,,,,,580645.1613,322580.6452,,,,"Property Insurance, Artificial Intelligence (AI), PropTech",Financial Services & Fintech,Yes
Motif,https://www.crunchbase.com/organization/motif-investing,$100M to $500M,"Finance, Financial Services, Internet","23,151",Motif is a financial service company offering thematic investing to individual and institutional investors.,Closed,2010,For Profit,2020,http://twitter.com/motifinvesting,124,,,http://www.linkedin.com/company/motif-investing,,http://www.facebook.com/motifinvesting,,,info@motifinvesting.com,,"San Mateo, California, United States",+1 855 856 6843,Motif is a digital brokerage firm. They provide provides thematic investing solutions for individuals and financial advisors. They also provide assets under management between individual accounts and institutional clients.,,http://motif.com,"Financial Services, Internet Services",,Series E,76,M&A,2,2015,Series E,6,,40000000,40000000,126500000,126500000,Was Acquired,5,Charles Schwab,https://www.crunchbase.com/organization/charles-schwab,,Leveraged Buyout,,Private,,,,,,10,,,,,,,,,1664473.684,526315.7895,,,,"Finance, Financial Services, Internet",Financial Services & Fintech,No
Cloud Lending,https://www.crunchbase.com/organization/cloud-lending,$50M to $100M,"Banking, Cloud Computing, Finance, Financial Services, FinTech, Lending, Mobile Payments, Payments, SaaS, Software","24,043",Cloud Lending is a company that develops software for the financial lending industry.,Closed,2012,For Profit,2018,http://twitter.com/cloudlending,8,,,https://www.linkedin.com/company/cloudlendinginc,,,,,info@cloudlendinginc.com,,"San Mateo, California, United States",1 (650) 918-0499,"Cloud Lending Solutions is a cloud-based, end-to-end lending and leasing platform delivering innovation to the global lending community. Cloud Lending Solutions digitizes origination, underwriting, servicing and collections, creating a single system of record for your lending operations. Unlike legacy technology platforms that are expensive to maintain and prevent agile response to market conditions, Cloud Lending Solutions’ clients take back control of their business by quickly implementing, extending, and digitizing the entire lending lifecycle. Cloud Lending Solutions’ single system of record is the market leading cloud solution supporting both consumer and commercial lending that scales for the needs of lenders of all sizes. By eliminating the departmental silos that slow lenders down, financial organizations can now get to market quickly with secure digital products that delight today’s demanding borrowers. Cloud Lending Solutions clients improve profit margins and outperform their competitors by generating greater revenue, increasing operational efficiencies, and improving credit risk management. Be it banks, traditional finance companies, online lenders, or marketplace platforms, Cloud Lending Solutions is the trusted partner to deliver lending applications that drive innovation. Cloud Lending Solutions has its headquarters office San Mateo, California and has offices in London, UK and Bangalore, India.",,https://www.cloudlendinginc.com,"Financial Services, Internet Services, Lending and Investments, Mobile, Payments, Software",,Venture - Series Unknown,176,M&A,3,2018,Venture - Series Unknown,7,,18000000,18000000,31999995,32149995,Was Acquired,2,Q2ebanking,https://www.crunchbase.com/organization/q2ebanking,,Acquisition,,Private,,,,,,6,,,,,,,,,182670.4261,102272.7273,,,,"Lending, Software, Financial Services",Financial Services & Fintech,Yes
Bottlepay,https://www.crunchbase.com/organization/bottle-pay,$1M to $10M,"Apps, Bitcoin, Financial Services, FinTech, Mobile Payments","25,600","Bottle Pay is an app company providing mobile payment, mobile banking, and financial services.",Closed,2019,For Profit,2021,https://twitter.com/bottlepay,38,,,https://www.linkedin.com/company/bottlepay/,,https://www.facebook.com/Bottlepay-105190101334888/,,,hello@bottlepay.com,,"Newcastle, Newcastle upon Tyne, United Kingdom",,"Bottlepay is a payments platform built on top of the bitcoin network, the world's first open-source monetary system.  The company provides mobile payment, mobile banking, and financial services. Bottlepay is headquartered in Tyne, England and was co-founded by Peter Cheyne and Peter O'Donoghue in 2018.",,https://bottlepay.com,"Apps, Blockchain and Cryptocurrency, Financial Services, Mobile, Payments, Software",,Seed,31,M&A,2,2021,Seed,2,,15474627,15474627,17474628,17474628,Was Acquired,,NYDIG,https://www.crunchbase.com/organization/nydig,,Acquisition,,Private,,,,,,2,,,,,,,,,563697.6774,499181.5161,,,,"Financial Services, Mobile Payments, FinTech",Financial Services & Fintech,Yes
Go Insurance,https://www.crunchbase.com/organization/go-2,$1M to $10M,"Apps, Auto Insurance, Automotive, E-Commerce, Insurance, Internet, Mobile, Software","25,850",Go Insurance is an iPhone application that provides car insurance for all drivers.,Closed,2014,For Profit,,https://twitter.com/gosafeinsurance,41,,,https://www.linkedin.com/company/go/,,https://web.facebook.com/gosafeinsure,,1,support@gosafeinsurance.com,,"San Francisco, California, United States",,"Go Insurance is an iPhone application that provides car insurance for all drivers. The app also offers the mobile application Go which allows you to use the Go Safe Map, Go Dispatch, and receive a quote from Go for insurance in select states. It was founded in 2014 and is headquartered in San Francisco, California, USA.",,https://gosafeinsurance.com/,"Apps, Commerce and Shopping, Financial Services, Internet Services, Mobile, Software, Transportation",,Venture - Series Unknown,3001,,2,2022,Venture - Series Unknown,5,,2000000,2000000,29105200,29105200,,1,,,,,,Private,,,,,,,,,,,,,,,9698.5005,666.4445185,,,,"Insurance, Auto Insurance, Software",Financial Services & Fintech,Yes
Upsider,https://www.crunchbase.com/organization/upsider-587f,$1M to $10M,"Communities, Finance, Task Management","26,534",We enable people to trust upsiders by organizing the world's B2B transactions.,Closed,2017,For Profit,,,,,,,,,,,,,"Tokyo, Tokyo, Japan",,,,https://up-sider.com/,"Community and Lifestyle, Financial Services, Software",,Series B,6,Early Stage Venture,,2021,Series B,4,,,,9163551,9163551,,,,,,,,Private,,,,,,,,,,,,,,,1527258.5,,,,,"Communities, Finance, Task Management",Financial Services & Fintech,Yes
Quantopian,https://www.crunchbase.com/organization/quantopian,$50M to $100M,"Financial Services, FinTech, Hedge Funds","27,934",Quantopian inspires talented people to write investment algos. Select authors may license their algos to us and get paid for performance.,Closed,2011,For Profit,,http://twitter.com/quantopian,59,,,http://www.linkedin.com/company/quantopian,,http://www.facebook.com/quantopian,,,info@quantopian.com,,"Boston, Massachusetts, United States",(617)286-6179,"Quantopian inspires talented people everywhere to write investment algorithms. Select authors may license their algos to us and get paid based on performance. We provide capital, data and infrastructure for quants to research, code, test, and trade algorithmic investing strategies.  We have an engaged community of 195,000 quants who discuss concepts and practice, and learn from peers and experts. We provide capital for our community to trade with, both through a monthly contest and through an allocation process for high-quality algorithms.   For more information, visit https://www.quantopian.com. Follow us on Twitter @quantopian.",,http://www.quantopian.com,"Financial Services, Lending and Investments",,Series C,31,Late Stage Venture,2,2016,Series C,5,,25000000,25000000,48800000,48800000,,3,,,,,,Private,,,,,,,,,,,,,,,1574193.548,806451.6129,,,,"Financial Services, FinTech, Hedge Funds",Financial Services & Fintech,Yes
Joist,https://www.crunchbase.com/organization/joist,$1M to $10M,"Construction, Mobile, Payments, Small and Medium Businesses, Software","28,743","Joist is a mobile and web platform that provides ease of use for estimating, invoicing, processing, and managing projects and payments.",Closed,2013,For Profit,2019,https://twitter.com/joist,30,,,https://www.linkedin.com/company/joist,,https://www.facebook.com/joistapp,,,hello@joist.com,,"Toronto, Ontario, Canada",,"Joist is a new tool for contractors that allows you to estimate, invoice, record payments, and manage projects from your iPhone/iPad and the web.  Features: - Include your company logo for professional estimates and invoices - Build a list of commonly used items to quickly create estimates and invoices - Calculate estimates fast - Print or email estimates and invoices on the spot - Convert estimates into invoices - Record payments right then and there - Manage and store your client information - Export everything into your accounting program With Joist you can calculate and send estimates on the spot to your client. Issue invoices and record payments. And export all of the information to your preferred accounting system.",,https://www.joist.com,"Financial Services, Mobile, Other, Payments, Real Estate, Software",,Series A,31,M&A,4,2015,Series A,3,,12000000,12000000,14000000,14000000,Was Acquired,3,EverCommerce,https://www.crunchbase.com/organization/evercommerce,,Acquisition,,Private,,,,,,6,,,,,,,,,451612.9032,387096.7742,,,,"Small and Medium Businesses, Payments, Mobile",Financial Services & Fintech,No
Mezu,https://www.crunchbase.com/organization/mezu,$1M to $10M,"Apps, Financial Services, FinTech, Payments","29,477","Mezu is the only mobile money app that puts privacy first, letting consumers give and get money without sharing any personal information.",Closed,2017,For Profit,,https://twitter.com/GetMezu/,6,,,https://www.linkedin.com/company/mezu-inc/,,https://www.facebook.com/getmezu/,,,hello@mezu.com,,"Ohio, Illinois, United States",,"Mezu is a mobile payment app that gives you a private and secure way to give and get money without sharing your personal information. Just like cash, with Mezu, you can conveniently pay, tip, earn and donate safely and for free. Because Mezu believes that what you do with your money is your business. Mezu is now available on iOS and Android in the United States. Sign up and learn more: https://www.mezu.com.",,https://www.mezu.com/,"Apps, Financial Services, Payments, Software",,Venture - Series Unknown,31,,2,2024,Venture - Series Unknown,2,,4979009,4979009,14979009,14979009,,1,,,,,,Private,,,,,,,,,,,,,,,483193.8387,160613.1935,,,,"Payments, Financial Services, FinTech",Financial Services & Fintech,Yes
